request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_183,23107211.77,affordable_with_plan,installments,2026-04-10:9313546.67|2026-05-10:9313546.67|2026-06-09:9313546.67,2026-05-16,none,The requested amount cannot be fully paid today without breaching the minimum balance. The recommended installment plan is safe and completes by the desired deadline.
request_184,9316.1,not_affordable,not_recommended,none,,none,The request is not affordable within the forecast period without breaching the minimum balance of INR 110800.00.
request_185,318.41,affordable_later,wait,2026-07-15:1257.3,2026-07-15,none,"The requested amount cannot be paid today or via installments, but becomes fully affordable on 2026-07-15 while maintaining the minimum balance of EUR 1300.00."
request_186,2280.1,affordable_later,wait,2026-11-22:26554.0,2026-11-22,none,"The requested amount cannot be paid today or via installments, but becomes fully affordable on 2026-11-22 while maintaining the minimum balance of ZAR 22000.00."
request_187,38384.36,affordable_later,wait,2024-11-16:187500.0,2024-11-16,none,"The requested amount cannot be paid today or via installments, but becomes fully affordable on 2024-11-16 while maintaining the minimum balance of INR 128300.00."
request_188,26.3,not_affordable,not_recommended,none,,none,The request is not affordable within the forecast period without breaching the minimum balance of EUR 900.00.
request_189,488.4,affordable_now,full_payment,2026-07-04:488.4,2026-07-04,none,"The requested amount is fully affordable today, maintaining the required minimum balance of EUR 400.00."
request_190,444.74,affordable_later,wait,2025-07-20:2557.5,2025-07-20,none,"The requested amount cannot be paid today or via installments, but becomes fully affordable on 2025-07-20 while maintaining the minimum balance of EUR 1600.00."
request_191,664.4,affordable_now,full_payment,2025-05-03:664.4,2025-05-03,none,"The requested amount is fully affordable today, maintaining the required minimum balance of EUR 500.00."
request_192,113.88,not_affordable,not_recommended,none,,none,The request is not affordable within the forecast period without breaching the minimum balance of USD 1000.00.
request_193,23.01,affordable_with_plan,installments,2024-03-21:420.23|2024-04-21:420.23|2024-05-22:420.23,2024-05-18,none,The requested amount cannot be fully paid today without breaching the minimum balance. The recommended installment plan is safe and completes by the desired deadline.
request_194,34703.75,affordable_later,wait,2025-12-25:132800.0,2025-12-25,none,"The requested amount cannot be paid today or via installments, but becomes fully affordable on 2025-12-25 while maintaining the minimum balance of INR 113600.00."
request_195,965.64,affordable_with_plan,installments,2026-01-09:405.74|2026-02-08:405.74|2026-03-10:405.74,2026-02-16,reduce_to:event_17923:12.00,The requested amount cannot be fully paid today without breaching the minimum balance. The recommended installment plan is safe and completes by the desired deadline. This requires applying the recommended spending changes.
request_196,762.3,affordable_now,full_payment,2024-06-03:762.3,2024-06-03,none,"The requested amount is fully affordable today, maintaining the required minimum balance of EUR 500.00."
request_197,50939000.0,affordable_with_plan,installments,2025-11-19:17658853.33|2025-12-17:17658853.33|2026-01-14:17658853.33,2025-11-05,none,The requested amount cannot be fully paid today without breaching the minimum balance. The recommended installment plan is safe and completes by the desired deadline.
request_198,185800.0,affordable_now,full_payment,2026-07-07:185800.0,2026-07-07,none,"The requested amount is fully affordable today, maintaining the required minimum balance of INR 124300.00."
request_199,23674000.0,affordable_with_plan,installments,2024-09-07:8206986.67|2024-10-08:8206986.67|2024-11-08:8206986.67,2024-09-04,none,The requested amount cannot be fully paid today without breaching the minimum balance. The recommended installment plan is safe and completes by the desired deadline.
request_200,21717000.0,affordable_now,full_payment,2025-02-06:21717000.0,2025-02-06,none,"The requested amount is fully affordable today, maintaining the required minimum balance of IDR 20114600.00."
request_201,23997000.0,affordable_now,full_payment,2026-04-03:23997000.0,2026-04-03,none,"The requested amount is fully affordable today, maintaining the required minimum balance of IDR 17304500.00."
request_202,123900.0,affordable_now,full_payment,2024-12-05:123900.0,2024-12-05,none,"The requested amount is fully affordable today, maintaining the required minimum balance of INR 147800.00."
request_203,1442.1,affordable_with_plan,installments,2025-05-10:499.93|2025-06-07:499.93|2025-07-05:499.93,2025-05-07,none,The requested amount cannot be fully paid today without breaching the minimum balance. The recommended installment plan is safe and completes by the desired deadline.
request_204,588.74,affordable_now,full_payment,2026-01-04:588.74,2026-01-04,none,"The requested amount is fully affordable today, maintaining the required minimum balance of EUR 1300.00."
request_205,10621000.0,affordable_now,full_payment,2024-03-06:10621000.0,2024-03-06,none,"The requested amount is fully affordable today, maintaining the required minimum balance of IDR 13994300.00."
request_206,1404.7,affordable_with_plan,installments,2025-08-03:486.96|2025-08-31:486.96|2025-09-28:486.96,2025-08-03,none,The requested amount cannot be fully paid today without breaching the minimum balance. The recommended installment plan is safe and completes by the desired deadline.
request_207,4205.61,affordable_later,wait,2026-07-15:11830.0,2026-07-15,none,"The requested amount cannot be paid today or via installments, but becomes fully affordable on 2026-07-15 while maintaining the minimum balance of ZAR 13600.00."
request_208,3104179.08,affordable_later,wait,2024-06-15:4413000.0,2024-06-15,none,"The requested amount cannot be paid today or via installments, but becomes fully affordable on 2024-06-15 while maintaining the minimum balance of IDR 10470700.00."
request_209,1808.74,not_affordable,not_recommended,none,,none,The request is not affordable within the forecast period without breaching the minimum balance of ZAR 18400.00.
request_210,1111.21,affordable_with_plan,partial_payment,2026-04-06:1111.21|2026-04-15:248.80999999999995,2026-04-15,none,"The requested amount cannot be fully paid today without breaching the minimum balance. A partial payment of USD 1111.21 can be made today, with the remainder on 2026-04-15."
request_211,288.07,affordable_later,wait,2024-12-17:1788.6,2024-12-17,none,"The requested amount cannot be paid today or via installments, but becomes fully affordable on 2024-12-17 while maintaining the minimum balance of EUR 1500.00."
request_212,3812034.91,not_affordable,not_recommended,none,,none,The request is not affordable within the forecast period without breaching the minimum balance of IDR 29579800.00.
request_213,2723.58,not_affordable,not_recommended,none,,none,The request is not affordable within the forecast period without breaching the minimum balance of USD 2100.00.
request_214,44509.69,affordable_with_plan,partial_payment,2024-12-04:44509.69000000003|2024-12-16:25240.30999999997,2024-12-16,none,"The requested amount cannot be fully paid today without breaching the minimum balance. A partial payment of INR 44509.69 can be made today, with the remainder on 2024-12-16."
request_215,29986.0,affordable_with_plan,installments,2025-05-09:10395.15|2025-06-06:10395.15|2025-07-04:10395.15,2025-05-06,none,The requested amount cannot be fully paid today without breaching the minimum balance. The recommended installment plan is safe and completes by the desired deadline.
request_216,472.13,affordable_later,wait,2026-09-15:3332.4,2026-09-15,none,"The requested amount cannot be paid today or via installments, but becomes fully affordable on 2026-09-15 while maintaining the minimum balance of USD 1800.00."
request_217,19686.45,affordable_with_plan,installments,2024-03-19:12889.07|2024-04-19:12889.07|2024-05-20:12889.07,2024-07-17,stop:event_19948|reduce_to:event_19950:561.44,The requested amount cannot be fully paid today without breaching the minimum balance. The recommended installment plan is safe and completes by the desired deadline. This requires applying the recommended spending changes.
request_218,24552135.34,affordable_with_plan,installments,2025-08-07:21195893.33|2025-09-04:21195893.33|2025-10-02:21195893.33,2025-09-15,none,The requested amount cannot be fully paid today without breaching the minimum balance. The recommended installment plan is safe and completes by the desired deadline.
request_219,697.72,affordable_with_plan,installments,2026-04-07:580.01|2026-05-07:580.01|2026-06-06:580.01,2026-05-15,none,The requested amount cannot be fully paid today without breaching the minimum balance. The recommended installment plan is safe and completes by the desired deadline.
request_220,61.26,not_affordable,not_recommended,none,,none,The request is not affordable within the forecast period without breaching the minimum balance of EUR 1100.00.
request_221,109800.0,affordable_now,full_payment,2025-11-03:109800.0,2025-11-03,none,"The requested amount is fully affordable today, maintaining the required minimum balance of INR 81500.00."
request_222,34078.0,affordable_now,full_payment,2026-01-05:34078.0,2026-01-05,none,"The requested amount is fully affordable today, maintaining the required minimum balance of ZAR 27300.00."
request_223,898.7,affordable_now,full_payment,2024-09-07:898.7,2024-09-07,none,"The requested amount is fully affordable today, maintaining the required minimum balance of EUR 800.00."
request_224,10327000.0,affordable_with_plan,installments,2025-02-04:5370040.0|2025-03-04:5370040.0,2025-02-04,none,The requested amount cannot be fully paid today without breaching the minimum balance. The recommended installment plan is safe and completes by the desired deadline.
request_225,9380382.41,not_affordable,not_recommended,none,,none,The request is not affordable within the forecast period without breaching the minimum balance of IDR 17670700.00.
request_226,157000.0,affordable_now,full_payment,2024-12-03:157000.0,2024-12-03,none,"The requested amount is fully affordable today, maintaining the required minimum balance of INR 209400.00."
request_227,7699.12,not_affordable,not_recommended,none,,none,The request is not affordable within the forecast period without breaching the minimum balance of INR 62900.00.
request_228,1430668.55,affordable_later,wait,2026-11-25:63327000.0,2026-11-25,none,"The requested amount cannot be paid today or via installments, but becomes fully affordable on 2026-11-25 while maintaining the minimum balance of IDR 26191200.00."
request_229,447.48,not_affordable,not_recommended,none,,none,The request is not affordable within the forecast period without breaching the minimum balance of EUR 1000.00.
request_230,0.0,not_affordable,not_recommended,none,,none,The request is not affordable within the forecast period without breaching the minimum balance of EUR 2000.00.
request_231,31571.89,affordable_with_plan,installments,2026-01-06:12378.08|2026-02-05:12378.08|2026-03-07:12378.08,2026-02-15,none,The requested amount cannot be fully paid today without breaching the minimum balance. The recommended installment plan is safe and completes by the desired deadline.
request_232,251.7,not_affordable,not_recommended,none,,none,The request is not affordable within the forecast period without breaching the minimum balance of EUR 2400.00.
request_233,3535851.67,affordable_with_plan,partial_payment,2025-11-07:3813251.669999998|2025-12-16:2427748.330000002,2026-01-16,stop:event_21414,"The requested amount cannot be fully paid today without breaching the minimum balance. A partial payment of IDR 3535851.67 can be made today, with the remainder on 2026-01-16. This requires applying the recommended spending changes."
request_234,230.3,affordable_with_plan,wait,2026-08-16:1213.3,2026-09-16,reduce_to:event_21568:16.00,The requested amount can be safely paid through a structured payment plan. This requires applying the recommended spending changes.
request_235,967.2,affordable_now,full_payment,2024-09-06:967.2,2024-09-06,none,"The requested amount is fully affordable today, maintaining the required minimum balance of USD 700.00."
request_236,6081340.68,not_affordable,not_recommended,none,,none,The request is not affordable within the forecast period without breaching the minimum balance of IDR 16768600.00.
request_237,23826000.0,affordable_now,full_payment,2026-04-05:23826000.0,2026-04-05,none,"The requested amount is fully affordable today, maintaining the required minimum balance of IDR 22431500.00."
request_238,0.0,not_affordable,not_recommended,none,,none,The request is not affordable within the forecast period without breaching the minimum balance of USD 700.00.
request_239,642.0,affordable_now,full_payment,2025-05-04:642.0,2025-05-04,none,"The requested amount is fully affordable today, maintaining the required minimum balance of USD 600.00."
request_240,14534.05,not_affordable,not_recommended,none,,none,The request is not affordable within the forecast period without breaching the minimum balance of INR 52800.00.
request_241,21052000.0,not_affordable,not_recommended,none,,none,The request is not affordable within the forecast period without breaching the minimum balance of IDR 19252000.00.
request_242,41.02,affordable_later,wait,2026-07-22:1966.8,2026-07-22,none,"The requested amount cannot be paid today or via installments, but becomes fully affordable on 2026-07-22 while maintaining the minimum balance of EUR 600.00."
request_243,17468.0,affordable_now,full_payment,2026-07-07:17468.0,2026-07-07,none,"The requested amount is fully affordable today, maintaining the required minimum balance of ZAR 19900.00."
request_244,49918.0,affordable_now,full_payment,2024-06-04:49918.0,2024-06-04,none,"The requested amount is fully affordable today, maintaining the required minimum balance of ZAR 45900.00."
request_245,25758.7,affordable_later,wait,2026-02-16:128500.0,2026-02-16,none,"The requested amount cannot be paid today or via installments, but becomes fully affordable on 2026-02-16 while maintaining the minimum balance of INR 94600.00."
request_246,64086.0,not_affordable,not_recommended,none,,none,The request is not affordable within the forecast period without breaching the minimum balance of ZAR 39300.00.
request_247,1059.3,affordable_now,full_payment,2024-09-05:1059.3,2024-09-05,none,"The requested amount is fully affordable today, maintaining the required minimum balance of EUR 1300.00."
request_248,325.46,not_affordable,not_recommended,none,,none,The request is not affordable within the forecast period without breaching the minimum balance of USD 1300.00.
request_249,132.37,affordable_later,wait,2026-04-19:643.2,2026-04-19,none,"The requested amount cannot be paid today or via installments, but becomes fully affordable on 2026-04-19 while maintaining the minimum balance of USD 600.00."
request_250,16056.71,not_affordable,not_recommended,none,,none,The request is not affordable within the forecast period without breaching the minimum balance of ZAR 35300.00.
request_251,1513.6,not_affordable,not_recommended,none,,none,The request is not affordable within the forecast period without breaching the minimum balance of EUR 1300.00.
request_252,4541677.74,affordable_later,wait,2026-09-16:28082000.0,2026-09-16,none,"The requested amount cannot be paid today or via installments, but becomes fully affordable on 2026-09-16 while maintaining the minimum balance of IDR 15152200.00."
request_253,1383.13,not_affordable,not_recommended,none,,none,The request is not affordable within the forecast period without breaching the minimum balance of EUR 2300.00.
request_254,627.67,affordable_later,wait,2025-10-16:3535.2,2025-10-16,none,"The requested amount cannot be paid today or via installments, but becomes fully affordable on 2025-10-16 while maintaining the minimum balance of USD 2500.00."
request_255,3345000.0,affordable_now,full_payment,2026-04-06:3345000.0,2026-04-06,none,"The requested amount is fully affordable today, maintaining the required minimum balance of IDR 9813900.00."
request_256,154879.83,affordable_with_plan,installments,2024-06-10:75816.0|2024-07-11:75816.0|2024-08-11:75816.0,2024-07-15,none,The requested amount cannot be fully paid today without breaching the minimum balance. The recommended installment plan is safe and completes by the desired deadline.
request_257,356.04,affordable_later,wait,2026-03-19:1352.4,2026-03-19,none,"The requested amount cannot be paid today or via installments, but becomes fully affordable on 2026-03-19 while maintaining the minimum balance of USD 1600.00."
request_258,1113.6,affordable_now,full_payment,2026-01-07:1113.6,2026-01-07,none,"The requested amount is fully affordable today, maintaining the required minimum balance of USD 500.00."
request_259,251.54,affordable_later,wait,2024-11-15:935.0,2024-11-15,none,"The requested amount cannot be paid today or via installments, but becomes fully affordable on 2024-11-15 while maintaining the minimum balance of EUR 600.00."
request_260,7773408.05,not_affordable,not_recommended,none,,none,The request is not affordable within the forecast period without breaching the minimum balance of IDR 20727700.00.
request_261,1830.4,affordable_now,full_payment,2026-07-03:1830.4,2026-07-03,none,"The requested amount is fully affordable today, maintaining the required minimum balance of EUR 1500.00."
request_262,0.0,not_affordable,not_recommended,none,,none,The request is not affordable within the forecast period without breaching the minimum balance of IDR 31018500.00.
request_263,6630.04,not_affordable,not_recommended,none,,none,The request is not affordable within the forecast period without breaching the minimum balance of ZAR 24100.00.
request_264,23012.52,affordable_later,wait,2026-06-16:111300.0,2026-06-16,none,"The requested amount cannot be paid today or via installments, but becomes fully affordable on 2026-06-16 while maintaining the minimum balance of INR 59500.00."
request_265,0.0,not_affordable,not_recommended,none,,none,The request is not affordable within the forecast period without breaching the minimum balance of INR 189700.00.
request_266,770.18,not_affordable,not_recommended,none,,none,The request is not affordable within the forecast period without breaching the minimum balance of EUR 900.00.
request_267,1644.69,affordable_with_plan,installments,2026-01-08:667.33|2026-02-07:667.33|2026-03-09:667.33,2026-02-15,stop:event_24541,The requested amount cannot be fully paid today without breaching the minimum balance. The recommended installment plan is safe and completes by the desired deadline. This requires applying the recommended spending changes.
request_268,1061.93,affordable_with_plan,installments,2024-06-14:841.22|2024-07-15:841.22|2024-08-15:841.22,2024-07-16,none,The requested amount cannot be fully paid today without breaching the minimum balance. The recommended installment plan is safe and completes by the desired deadline.
request_269,9664.79,affordable_later,wait,2025-12-16:15490.0,2025-12-16,none,"The requested amount cannot be paid today or via installments, but becomes fully affordable on 2025-12-16 while maintaining the minimum balance of ZAR 23100.00."
request_270,96.77,not_affordable,not_recommended,none,,none,The request is not affordable within the forecast period without breaching the minimum balance of USD 1400.00.
request_271,13832.03,affordable_later,wait,2025-02-15:91300.0,2025-02-15,none,"The requested amount cannot be paid today or via installments, but becomes fully affordable on 2025-02-15 while maintaining the minimum balance of INR 58200.00."
request_272,5420361.49,affordable_with_plan,installments,2025-02-12:4709466.67|2025-03-12:4709466.67|2025-04-09:4709466.67,2025-03-15,none,The requested amount cannot be fully paid today without breaching the minimum balance. The recommended installment plan is safe and completes by the desired deadline.
request_273,9476871.09,affordable_with_plan,partial_payment,2026-04-07:9476871.09|2026-04-15:6384128.91,2026-04-15,none,"The requested amount cannot be fully paid today without breaching the minimum balance. A partial payment of IDR 9476871.09 can be made today, with the remainder on 2026-04-15."
request_274,2083.08,not_affordable,not_recommended,none,,none,The request is not affordable within the forecast period without breaching the minimum balance of EUR 1800.00.
request_275,15884000.0,affordable_now,full_payment,2025-05-06:15884000.0,2025-05-06,none,"The requested amount is fully affordable today, maintaining the required minimum balance of IDR 12760100.00."
